time,cbsa_code,area,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy
202103,41860,"san francisco-oakland-hayward, ca",11,1049500.0,0.0285,0.0938,3474,0.0392,-0.1245,22.5,-0.02173913,-0.237288136,4328,0.1672,0.3907,64,-0.1111,-0.5294,468,-0.025,-0.2778,4966,0.1279,0.2036,706.361583,0.0164,0.2615,1488.0,0.0227,-0.1361,2021474.351,0.0867,0.2556,8440,0.0896,0.0427,1.429476108,0.1124,0.3897
202103,41940,"san jose-sunnyvale-santa clara, ca",36,1243000.0,0.0119,0.0077,1135,0.0998,-0.0061,15.0,-0.117647059,-0.375,1676,0.1671,0.4806,28,-0.125,-0.3636,248,0.3778,0.3478,1881,0.2198,0.4976,796.9310525000000,0.0161,0.1123,1587.5,0.0092,-0.1069,1964597.5790000000,0.0034,0.0186,3016,0.1717,0.2577,1.657268722,0.1631,0.5574
202102,41860,"san francisco-oakland-hayward, ca",11,1020444.0,0.0308,0.0753,3343,0.0392,-0.0429,23.0,-0.520833333,0.27777777800000000,3708,0.2716,0.0109,72,-0.1,-0.4706,480,0.1111,-0.0769,4403,0.1878,0.2106,694.9641137,0.0242,0.2443,1455.0,0.0104,-0.1441,1860227.66,0.0204,0.1254,7746,0.1187,0.0864,1.317080467,0.1648,0.2759
202102,41940,"san jose-sunnyvale-santa clara, ca",36,1228400.0,0.0246,0.0238,1032,0.0672,0.1037,17.0,-0.552631579,-0.22727272700000000,1436,0.3199,0.1361,32,0.6,0.6,180,0.0465,0.0976,1542,0.266,0.4044,784.3377628,0.0462,0.1405,1573.0,0.0295,-0.1348,1957966.9720000000,0.0091,-0.0232,2574,0.17800000000000000,0.2661,1.494186047,0.2346,0.3199
202101,41860,"san francisco-oakland-hayward, ca",11,990000.0,-0.005,0.0909,3217,-0.214,0.1827,48.0,-0.067961165,-0.020408163,2916,0.3677,0.1444,80,-0.1304,-0.0476,432,-0.2703,0.0286,3707,-0.2197,0.5465,678.5252264,0.0173,0.2591,1440.0,-0.0147,-0.1429,1823109.195,0.0906,0.0166,6924,-0.2171,0.3531,1.152315822,-0.0084,0.2711
202101,41940,"san jose-sunnyvale-santa clara, ca",36,1198888.0,0.014000000000000000,0.0904,967,-0.1678,0.1924,38.0,-0.11627907,-0.254901961,1088,0.4468,0.2477,20,-0.5833,-0.2857,172,-0.1887,0.1944,1218,-0.1135,0.6197,749.672346,0.0052,0.1303,1528.0,0.0036,-0.156,1940293.918,0.0705,0.0085,2185,-0.1384,0.39800000000000000,1.259565667,0.0771,0.3323
202012,41860,"san francisco-oakland-hayward, ca",11,995000.0,-0.0268,0.1093,4093,-0.2673,0.2815,51.5,0.240963855,-0.09649122800000000,2132,-0.3609,0.9888,92,-0.2069,0.0455,592,-0.521,0.451,4751,-0.1524,0.4778,666.9790890000000,-0.0177,0.2479,1461.5,-0.0142,-0.1251,1671656.483,0.0233,0.028000000000000000,8844,-0.2097,0.3799,1.1607622770000000,0.1574,0.1542
202012,41940,"san jose-sunnyvale-santa clara, ca",36,1182344.0,-0.0139,0.0983,1162,-0.2589,0.1643,43.0,0.194444444,-0.271186441,752,-0.3088,1.2381,48,0.2,1.0,212,-0.4804,0.4324,1374,-0.1889,0.4478,745.7681644000000,-0.0081,0.1379,1522.5,-0.0275,-0.1354,1812479.699,-0.0128,0.0244,2536,-0.2226,0.3025,1.182444062,0.1021,0.2315
202011,41860,"san francisco-oakland-hayward, ca",11,1022444.0,-0.0253,0.0994,5586,-0.1099,0.0512,41.5,0.185714286,-0.034883721,3336,-0.3197,0.4184,116,-0.3256,-0.2564,1236,-0.1932,-0.1716,5605,-0.0293,0.4309,679.004329,-0.0019,0.2131,1482.5,-0.009000000000000000,-0.1091,1633587.989,-0.0063,0.0486,11191,-0.0713,0.2123,1.0034013610000000,0.0834,0.2663
202011,41940,"san jose-sunnyvale-santa clara, ca",36,1199000.0,0.0,0.091,1568,-0.0716,-0.0445,36.0,0.058823529000000000,-0.265306122,1088,-0.3079,0.3807,40,-0.1667,-0.0909,408,-0.0811,-0.0973,1694,-0.0568,0.3101,751.8394649,-0.003,0.11700000000000000,1565.5,-0.0222,-0.094,1836071.0180000000,0.0418,0.0404,3262,-0.064,0.1118,1.080357143,0.017,0.2924
202010,41860,"san francisco-oakland-hayward, ca",11,1049000.0,0.0116,0.1136,6276,0.0758,-0.0417,35.0,0.0,0.0,4904,-0.0145,0.2587,172,0.2286,0.1026,1532,-0.0129,-0.2814,5774,0.0405,0.3813,680.2884615,0.0187,0.2262,1496.0,-0.0103,-0.1055,1643873.648,0.0022,0.0986,12050,0.0586,0.1231,0.920012747,-0.0311,0.2817
202010,41940,"san jose-sunnyvale-santa clara, ca",36,1199000.0,0.0,0.0807,1689,0.0018,-0.1852,34.0,-0.028571429,-0.180722892,1572,0.0369,0.3056,48,0.0909,0.0,444,-0.1591,-0.4127,1796,0.0124,0.3225,754.0723982000000,0.0156,0.1101,1601.0,-0.0154,-0.0582,1762367.945,0.0127,0.039,3485,0.0072,0.0157,1.063351095,0.0112,0.4083
202009,41860,"san francisco-oakland-hayward, ca",11,1037000.0,0.0117,0.1083,5834,0.0344,-0.1198,35.0,0.0,0.076923077,4976,0.0931,-0.0024,140,-0.125,0.0,1552,0.0157,-0.2815,5549,0.0362,0.4316,667.829961,0.0283,0.2165,1511.5,-0.0229,-0.1093,1640237.621,-0.0024,0.1144,11383,0.0353,0.0837,0.95114844,0.0017,0.3664
202009,41940,"san jose-sunnyvale-santa clara, ca",36,1199000.0,-0.0007,0.0531,1686,0.0024,-0.2487,35.0,0.09375,-0.156626506,1516,0.0053,0.1881,44,-0.2143,-0.1538,528,-0.0833,-0.4133,1774,0.0687,0.3805,742.5027102000000,0.0017,0.08,1626.0,-0.0187,-0.0382,1740276.4820000000,-0.0092,0.0292,3460,0.0353,-0.0196,1.052194543,0.0653,0.4796
202008,41860,"san francisco-oakland-hayward, ca",11,1025000.0,-0.0238,0.1183,5640,0.0299,-0.1291,35.0,0.044776119,-0.027777778,4552,0.0,-0.0274,160,0.1111,-0.0244,1528,0.0214,-0.2451,5355,0.0577,0.3351,649.475891,0.0155,0.2035,1547.0,-0.028000000000000000,-0.09300000000000000,1644133.733,-0.0068,0.1049,10995,0.0433,0.0484,0.949468085,0.0249,0.3301
202008,41940,"san jose-sunnyvale-santa clara, ca",36,1199800.0,-0.0145,0.0744,1682,0.0054,-0.2616,32.0,-0.058823529000000000,-0.23809523800000000,1508,0.0272,0.2161,56,0.1667,0.5556,576,0.0588,-0.405,1660,0.0447,0.2055,741.2206573,0.0114,0.0827,1657.0,-0.0224,-0.0276,1756360.826,-0.0107,0.0467,3342,0.0245,-0.0856,0.9869203330000000,0.0371,0.3824
202007,41860,"san francisco-oakland-hayward, ca",11,1050000.0,0.0005,0.1479,5476,0.0234,-0.1424,33.5,0.063492063,-0.042857143,4552,0.0327,0.0374,144,0.0286,-0.1628,1496,0.1333,-0.1991,5063,0.1256,0.2185,639.5448953,0.054000000000000000,0.1878,1591.5,-0.0453,-0.0709,1655346.051,0.0058,0.1101,10539,0.0701,-0.0001,0.924579985,0.084,0.2738
202007,41940,"san jose-sunnyvale-santa clara, ca",36,1217500.0,-0.0118,0.0775,1673,0.0115,-0.2941,34.0,-0.042253521000000000,-0.10526315800000000,1468,0.0988,0.0397,48,-0.1429,0.2,544,0.0625,-0.4262,1589,0.0751,0.11900000000000000,732.8344923,0.0043,0.0746,1695.0,-0.0314,-0.0105,1775272.362,-0.0152,0.0778,3262,0.0415,-0.1393,0.949790795,0.0562,0.3506
202006,41860,"san francisco-oakland-hayward, ca",11,1049444.0,0.0521,0.1058,5351,0.0754,-0.1701,31.5,-0.125,0.016129032000000000,4408,0.1361,-0.1048,140,0.0606,-0.125,1320,0.4043,-0.3082,4498,0.43200000000000000,0.0534,606.7997297000000,0.0495,0.12,1667.0,-0.0403,-0.048,1645821.477,0.0311,0.1447,9849,0.2134,-0.0811,0.8405905440000000,0.2094,0.1784
202006,41940,"san jose-sunnyvale-santa clara, ca",36,1232000.0,0.0275,0.0621,1654,0.0012,-0.321,35.5,-0.040540541,0.109375,1336,0.0637,-0.2233,56,0.0769,-0.1765,512,0.2308,-0.4667,1478,0.4721,-0.0147,729.6747499000000,0.0138,0.0542,1750.0,-0.0185,0.0127,1802651.041,-0.0024,0.0953,3132,0.1792,-0.2043,0.893591294,0.2858,0.2778
202005,41860,"san francisco-oakland-hayward, ca",11,997500.0,0.0674,0.05,4976,0.314,-0.159,36.0,-0.088607595,0.28571428600000000,3880,0.7572,-0.2392,132,0.0,-0.0833,940,0.8651,-0.4154,3141,0.1142,-0.3048,578.1584582,0.0546,0.0648,1737.0,-0.002,-0.0253,1596203.979,0.0507,0.0728,8117,0.2287,-0.2221,0.631229904,-0.1132,-0.1323
202005,41940,"san jose-sunnyvale-santa clara, ca",36,1199000.0,0.0006,0.0191,1652,0.2111,-0.2538,37.0,0.072463768,0.345454545,1256,0.5392,-0.3618,52,0.1818,-0.1333,416,1.6,-0.4639,1004,0.1715,-0.3585,719.7368421,0.0097,0.0349,1783.0,0.0183,0.0253,1807014.2240000000,0.006,0.0995,2656,0.1959,-0.2972,0.607748184,-0.0206,-0.0991
202004,41860,"san francisco-oakland-hayward, ca",11,934500.0,-0.026000000000000000,0.0027,3787,-0.0456,-0.2847,39.5,0.33898305100000000,0.38596491200000000,2208,-0.2905,-0.5616,132,-0.0294,-0.0833,504,-0.2222,-0.6471,2819,-0.3168,-0.3344,548.2162283,-0.021,0.0089,1740.5,0.0104,0.0037,1519131.785,-0.0564,0.0,6606,-0.1838,-0.3067,0.744388698,-0.2954,-0.0556
202004,41940,"san jose-sunnyvale-santa clara, ca",36,1198250.0,-0.0286,0.0771,1364,0.1944,-0.2671,34.5,0.4375,0.23214285700000000,816,-0.2792,-0.5154,44,0.0,0.2222,160,-0.1304,-0.7183,857,-0.3177,-0.4373,712.8399836,-0.005,0.0198,1751.0,-0.0149,0.034,1796266.948,-0.0687,0.1012,2221,-0.0738,-0.3437,0.62829912,-0.4715,-0.1901
202003,41860,"san francisco-oakland-hayward, ca",11,959475.0,0.011000000000000000,0.0636,3968,0.136,-0.1932,29.5,0.638888889,0.053571429000000000,3112,-0.1516,-0.2836,136,0.0,0.3077,648,0.2462,-0.4414,4126,0.1345,0.1496,559.9508728,0.0026,0.023,1722.5,0.0132,0.0299,1609991.491,-0.026000000000000000,0.0897,8094,0.1352,-0.0485,1.039818548,-0.0014,0.3101
202003,41940,"san jose-sunnyvale-santa clara, ca",36,1233500.0,0.028000000000000000,0.122,1142,0.2214,-0.3186,24.0,0.090909091,-0.14285714300000000,1132,-0.1044,-0.2453,44,1.2,-0.0833,184,0.122,-0.6102,1256,0.1439,-0.0338,716.4445328000000,0.0418,0.025,1777.5,-0.0223,0.0604,1928750.985,-0.0378,0.1894,2398,0.1795,-0.1942,1.099824869,-0.0745,0.3242
202002,41860,"san francisco-oakland-hayward, ca",11,949000.0,0.0457,0.0827,3493,0.2842,-0.2227,18.0,-0.632653061,-0.333333333,3668,0.4396,0.0362,136,0.619,0.4783,520,0.2381,-0.4372,3637,0.5173,0.2811,558.5106383,0.0364,0.0261,1700.0,0.0119,0.0533,1652970.375,-0.0783,0.1887,7130,0.3934,-0.0277,1.041225308,0.16,0.4095
202002,41940,"san jose-sunnyvale-santa clara, ca",36,1199888.0,0.0913,0.1162,935,0.1529,-0.3618,22.0,-0.568627451,-0.13725490200000000,1264,0.4495,-0.0032,20,-0.2857,-0.5833,164,0.1389,-0.5287,1098,0.4601,0.1497,687.7152698,0.0369,-0.006,1818.0,0.0041,0.1028,2004437.368,0.0418,0.2533,2033,0.3007,-0.1599,1.1743315510000000,0.2471,0.5225
202001,41860,"san francisco-oakland-hayward, ca",11,907500.0,0.0117,0.0973,2720,-0.1484,-0.3065,49.0,-0.14035087700000000,0.010309278,2548,1.3769,-0.2938,84,-0.0455,-0.1923,420,0.0294,-0.3895,2397,-0.2544,0.0861,538.8990852000000,0.0083,0.0157,1680.0,0.0057,0.066,1793402.3630000000,0.1028,0.3923,5117,-0.2016,-0.1651,0.88125,-0.1253,0.3185
202001,41940,"san jose-sunnyvale-santa clara, ca",36,1099500.0,0.0214,0.1006,811,-0.1874,-0.3742,51.0,-0.13559322,-0.037735849,872,1.5952,-0.2733,28,0.1667,0.1667,144,-0.027000000000000000,-0.52,752,-0.2076,0.1308,663.2269693,0.012,-0.0124,1810.5,0.0281,0.1231,1924006.064,0.0874,0.2877,1563,-0.1972,-0.203,0.927250308,-0.0237,0.4141
201912,41860,"san francisco-oakland-hayward, ca",11,897000.0,-0.0355,0.0565,3194,-0.3989,-0.3063,57.0,0.325581395,0.14,1072,-0.5442,-0.2451,88,-0.4359,-0.2667,408,-0.7265,-0.5049,3215,-0.1792,0.0825,534.4746358,-0.0451,-0.0005,1670.5,0.0039,0.052000000000000000,1626203.928,0.0438,0.2327,6409,-0.3057,-0.1538,1.006574828,0.2695,0.3615
201912,41940,"san jose-sunnyvale-santa clara, ca",36,1076500.0,-0.0205,0.0766,998,-0.3918,-0.3333,59.0,0.204081633,0.156862745,336,-0.5736,-0.3438,24,-0.4545,0.0,148,-0.6726,-0.5375,949,-0.266,0.0215,655.3739798000000,-0.0263,-0.0106,1761.0,0.0191,0.0911,1769287.9630000000,0.0026,0.1905,1947,-0.3364,-0.1974,0.950901804,0.163,0.3303
201911,41860,"san francisco-oakland-hayward, ca",11,930000.0,-0.0127,0.0485,5314,-0.1886,-0.1706,43.0,0.228571429,0.178082192,2352,-0.3963,-0.2576,156,0.0,-0.09300000000000000,1492,-0.3002,-0.1484,3917,-0.0629,0.07400000000000000,559.7433841,0.009000000000000000,0.0324,1664.0,-0.0051,0.0221,1557895.2380000000,0.0412,0.0716,9231,-0.1396,-0.0819,0.737109522,0.0988,0.1679
201911,41940,"san jose-sunnyvale-santa clara, ca",36,1099000.0,-0.0095,0.0167,1641,-0.2084,-0.2245,49.0,0.180722892,0.306666667,788,-0.3455,-0.2566,44,-0.0833,-0.1538,452,-0.4021,-0.3925,1293,-0.0479,0.0967,673.0888031000000,-0.0092,-0.002,1728.0,0.0165,0.068,1764739.091,0.0404,0.1647,2934,-0.1449,-0.1096,0.787934186,0.1328,0.2308
201910,41860,"san francisco-oakland-hayward, ca",11,941950.0,0.0067,0.0478,6549,-0.0119,-0.0291,35.0,0.076923077,0.129032258,3896,-0.2189,-0.1186,156,0.1143,-0.1522,2132,-0.013000000000000000,-0.1205,4180,0.0784,0.0674,554.7728079,0.0105,0.0055,1672.5,-0.0144,0.0051,1496291.621,0.0166,0.0768,10729,0.0214,0.0064,0.638265384,0.0535,0.0577
201910,41940,"san jose-sunnyvale-santa clara, ca",36,1109500.0,-0.0255,0.0119,2073,-0.0762,-0.0552,41.5,0.0,0.36065573800000000,1204,-0.0564,-0.1375,48,-0.0769,0.0,756,-0.16,-0.1563,1358,0.0568,0.0601,679.3105297000000,-0.0119,-0.0123,1700.0,0.0056,0.0391,1696148.405,0.0031,0.0846,3431,-0.0278,-0.0127,0.6550892430000000,0.0825,0.0712
201909,41860,"san francisco-oakland-hayward, ca",11,935658.2857,0.0208,0.0408,6628,0.0235,0.0153,32.5,-0.097222222,0.20370370400000000,4988,0.0658,-0.0008,140,-0.1463,-0.1463,2160,0.0672,0.1588,3876,-0.0337,0.0125,548.9824990000000,0.0173,0.0051,1697.0,-0.0051,0.0223,1471877.429,-0.0108,0.0666,10504,0.0016,0.0143,0.584791792,-0.0346,-0.0016
201909,41940,"san jose-sunnyvale-santa clara, ca",36,1138500.0,0.0195,0.0084,2244,-0.0149,0.0681,41.5,-0.011904762,0.38333333300000000,1276,0.029000000000000000,-0.2547,52,0.4444,-0.1875,900,-0.0702,0.2784,1285,-0.0668,0.0559,687.5144336,0.0042,0.0049,1690.5,-0.0079,0.0227,1690915.4780000000,0.0077,0.0502,3529,-0.0345,0.0636,0.5726381460000000,-0.0318,-0.0066
201908,41860,"san francisco-oakland-hayward, ca",11,916602.2857,0.0021,0.0308,6476,0.0143,0.1924,36.0,0.028571429,0.263157895,4680,0.0665,0.1007,164,-0.0465,-0.0465,2024,0.0835,0.3787,4011,-0.0347,0.0126,539.6713644000000,0.0023,0.0148,1705.714286,-0.0043,0.0105,1488007.9310000000,-0.0022,0.0891,10487,-0.005,0.1166,0.619363805,-0.0314,-0.11
201908,41940,"san jose-sunnyvale-santa clara, ca",36,1116714.2860000000,-0.0117,-0.0414,2278,-0.0388,0.213,42.0,0.10526315800000000,0.473684211,1240,-0.1218,-0.153,36,-0.1,-0.5,968,0.0211,0.6026,1377,-0.0303,0.0511,684.6320628,0.004,-0.0142,1704.0,-0.0053,0.029000000000000000,1678040.9010000000,0.0188,0.0277,3655,-0.0356,0.1465,0.604477612,0.0053,-0.0931
201907,41860,"san francisco-oakland-hayward, ca",11,914695.0,-0.0361,-0.0079,6385,-0.0098,0.2192,35.0,0.129032258,0.20689655200000000,4388,-0.1089,-0.0436,172,0.075,0.1944,1868,-0.021,0.4503,4155,-0.0269,-0.0079,538.4272589,-0.0062,0.0052,1713.0,-0.0217,-0.0009,1491218.2340000000,0.0372,-0.0079,10540,-0.0166,0.1183,0.650743931,-0.0115,-0.149
201907,41940,"san jose-sunnyvale-santa clara, ca",36,1129950.0,-0.0259,-0.0576,2370,-0.0271,0.3474,38.0,0.1875,0.490196078,1412,-0.1791,-0.1411,40,-0.4118,-0.5,948,-0.0125,0.8231,1420,-0.0533,0.0629,681.9286833,-0.0148,-0.0422,1713.0,-0.0087,0.0133,1647058.7520000000,0.0007,-0.0311,3790,-0.0371,0.2246,0.599156118,-0.0166,-0.1604
201906,41860,"san francisco-oakland-hayward, ca",11,949000.0,-0.0011,-0.0316,6448,0.0897,0.3259,31.0,0.107142857,0.291666667,4924,-0.0345,-0.0152,160,0.1111,-0.0909,1908,0.1866,0.9080000000000000,4270,-0.0549,-0.0756,541.7827298,-0.0022,-0.0128,1751.0,-0.0174,0.0006,1437746.481,-0.0337,-0.09300000000000000,10718,0.0271,0.1304,0.662220844,-0.1013,-0.2876
